ARREST_KEY,ARREST_DATE,PD_CD,PD_DESC,KY_CD,OFNS_DESC,LAW_CODE,LAW_CAT_CD,ARREST_BORO,ARREST_PRECINCT,JURISDICTION_CODE,AGE_GROUP,PERP_SEX,PERP_RACE,X_COORD_CD,Y_COORD_CD,Latitude,Longitude,Lon_Lat
236791704,11/22/2021,581,,,,PL 2225001,M,M,28,0,45-64,M,BLACK,997427,230378,40.7990088,-73.95240854,POINT (-73.95240854099995 40.799008797000056)
237354740,12/4/2021,153,RAPE 3,104,RAPE,PL 1302502,F,B,41,0,25-44,M,WHITE HISPANIC,1013232,236725,40.81639185,-73.89529641,POINT (-73.89529641399997 40.816391847000034)
236081433,11/9/2021,681,"CHILD, ENDANGERING WELFARE",233,SEX CRIMES,PL 2601001,M,Q,113,0,25-44,M,BLACK,1046367,186986,40.67970041,-73.77604737,POINT (-73.77604736799998 40.67970040800003)
32311380,6/18/2007,511,"CONTROLLED SUBSTANCE, POSSESSION 7",235,DANGEROUS DRUGS,PL 2200300,M,Q,27,1,18-24,M,BLACK,,,,,
192799737,1/26/2019,177,SEXUAL ABUSE,116,SEX CRIMES,PL 1306503,F,M,25,0,45-64,M,BLACK,1000555,230994,40.80069433,-73.94110929,POINT (-73.94110928599997 40.800694331000045)
193260691,2/6/2019,,,,,PL 2203400,F,M,14,0,25-44,M,UNKNOWN,986685,215375,40.757839,-73.99121211,POINT (-73.99121211099998 40.75783900300007)
237291769,12/3/2021,579,,,,PL 2224001,F,Q,115,0,25-44,M,BLACK,1018534,220579,40.7720565,-73.876224,POINT (-73.87622400099998 40.77205649600006)
236106641,11/10/2021,263,"ARSON 2,3,4",114,ARSON,PL 1501001,F,B,41,72,25-44,M,WHITE HISPANIC,1017934,232221,40.80401295,-73.87833183,POINT (-73.87833183299993 40.804012949000025)
238383628,12/28/2021,729,"FORGERY,ETC.,UNCLASSIFIED-FELO",113,FORGERY,PL 1702500,F,Q,113,0,18-24,M,BLACK,1045482,191341,40.69166002,-73.77919852,POINT (-73.77919852099996 40.69166001700007)
149117452,1/6/2016,153,RAPE 3,104,RAPE,PL 1302503,F,K,67,0,25-44,M,BLACK,998032,175598,40.64865009,-73.95033556,POINT (-73.95033556299995 40.648650085000035)
237339209,12/4/2021,101,ASSAULT 3,344,ASSAULT 3 & RELATED OFFENSES,PL 1200001,M,K,83,0,25-44,M,BLACK,1007400,190154,40.68858352,-73.91652635,POINT (-73.91652634699994 40.688583516000044)
221756278,12/12/2020,,,,,PL 2203400,F,M,23,0,25-44,M,WHITE HISPANIC,999998,226211,40.7875673,-73.94313233,POINT (-73.94313233199995 40.78756730100001)
